,carat,cut,color,clarity,depth,table,x,z,price
2017,0.41,2,4,6,61.5,55.0,4.81,2.95,1011.0
2018,1.51,3,2,5,62.5,58.0,7.21,4.55,14294.0
2019,0.71,1,2,4,61.3,56.0,5.76,3.53,3480.0
2020,0.56,2,3,1,61.4,57.0,5.29,3.26,2442.0
2021,0.49,3,2,2,58.7,63.0,5.2,3.04,1179.0
2022,0.83,2,0,2,61.9,56.0,6.01,3.74,4159.0
2023,0.4,3,0,2,61.6,58.0,4.73,2.9,990.0
2024,0.86,2,2,2,60.6,56.0,6.16,3.74,4228.0
2025,0.83,2,2,2,61.8,55.0,6.01,3.73,4009.0
2026,0.7,2,2,6,62.4,56.0,5.69,3.53,3199.0
2027,0.31,3,4,6,62.6,58.0,4.29,2.7,707.0
2028,0.26,2,5,4,62.1,55.0,4.11,2.56,434.0
2029,2.0,1,6,5,58.0,62.0,8.17,4.76,13542.0
2030,2.02,3,4,5,62.7,53.0,8.02,0.0,18207.0
2031,0.34,2,4,4,62.2,55.0,4.47,2.8,748.0
2032,1.5,3,0,2,61.6,59.0,7.4,4.54,13445.0
2033,0.33,3,3,6,60.3,58.0,4.52,2.72,797.0
2034,0.3,4,3,4,64.0,55.0,4.32,2.72,725.0
2035,0.38,2,6,7,62.0,55.0,4.67,2.9,629.0
2036,1.32,1,3,3,59.2,61.0,7.21,4.25,4373.0
2037,0.31,2,4,6,61.0,57.0,4.38,2.68,789.0
2038,0.7,2,5,7,62.3,55.0,5.66,3.54,2353.0
2039,0.72,2,3,3,61.3,56.0,5.77,3.55,2960.0
2040,1.05,4,0,7,59.8,59.0,6.54,3.92,7667.0
2041,1.09,4,1,3,60.9,59.0,6.61,4.07,5035.0
2042,0.71,2,2,4,61.1,56.0,5.76,3.53,3701.0
2043,0.83,3,3,3,62.4,54.0,6.01,3.77,2751.0
2044,0.51,2,0,7,61.7,57.0,5.16,3.17,2066.0
2045,0.9,1,4,3,62.5,59.0,6.19,3.81,3398.0
2046,0.43,2,1,5,62.2,57.0,4.84,3.0,1048.0
2047,0.7,3,6,4,62.0,58.0,5.68,3.54,1657.0
2048,0.41,4,1,2,62.9,57.9,4.7,2.97,719.0
2049,1.51,3,5,4,60.5,59.0,7.44,4.49,9682.0
2050,1.58,3,3,5,62.6,59.0,7.47,4.67,13132.0
2051,0.95,3,6,0,61.7,59.0,6.32,3.88,2195.0
2052,0.31,2,2,2,62.0,54.0,4.36,2.71,628.0
2053,1.0,1,5,5,57.8,59.0,6.53,3.75,4166.0
2054,0.3,3,3,4,61.3,62.0,4.32,2.63,776.0
2055,0.9,3,0,3,59.8,61.0,6.21,3.7,3780.0
2056,1.2,4,2,3,62.8,60.0,6.73,4.24,5880.0
2057,1.1,2,4,2,62.2,55.0,6.66,4.13,5636.0
2058,0.3,3,0,2,62.3,58.0,4.28,2.68,658.0
2059,0.55,2,1,2,61.7,56.0,5.33,3.25,1668.0
2060,0.71,3,3,4,60.9,58.0,5.81,3.5,2949.0
2061,1.01,2,3,4,62.7,56.0,6.4,4.0,6951.0
2062,1.52,3,5,2,59.6,60.0,7.4,4.5,8694.0
2063,1.53,3,5,2,60.8,59.0,7.54,4.57,8911.0
2064,0.71,2,5,2,62.1,57.0,5.68,3.54,2313.0
2065,1.08,2,4,5,60.3,57.0,6.67,4.03,5871.0
2066,0.41,2,2,7,62.2,56.0,4.77,2.97,863.0
2067,0.55,2,0,5,62.3,54.0,5.25,3.26,1556.0
2068,1.28,4,4,3,60.2,58.0,7.03,4.26,5984.0
2069,0.72,4,5,7,59.3,60.0,5.87,3.47,3473.0
2070,0.3,2,3,2,62.6,55.0,4.28,2.68,421.0
2071,0.2,3,2,5,60.6,59.0,3.73,2.33,367.0
2072,0.34,3,0,2,61.4,59.0,4.42,2.75,626.0
2073,1.01,1,1,7,63.3,55.0,6.36,4.04,8976.0
2074,1.09,2,4,2,61.9,56.0,6.61,4.1,5078.0
2075,0.32,3,3,5,59.8,60.0,4.32,2.72,561.0
2076,0.53,4,1,4,62.9,56.0,5.13,3.24,1776.0
2077,1.54,4,6,3,60.1,61.0,7.49,4.47,7589.0
2078,1.0,3,0,2,61.7,57.0,6.39,3.95,5489.0
2079,1.05,3,3,3,61.8,58.0,6.49,4.0,4198.0
2080,0.38,2,4,7,61.6,56.0,4.67,2.88,794.0
2081,0.33,2,1,2,62.4,56.0,4.47,2.78,748.0
2082,0.32,3,1,5,59.8,59.0,4.48,2.69,748.0
2083,1.05,2,3,7,61.9,57.0,6.51,4.03,8645.0
2084,0.9,3,4,3,58.3,60.0,6.34,3.69,3538.0
2085,0.7,0,3,2,64.5,61.0,5.43,3.55,2595.0
2086,1.06,3,2,5,61.5,58.0,6.53,4.03,7706.0
2087,0.33,2,0,4,61.0,56.0,4.49,2.75,978.0
2088,1.02,1,6,3,63.1,58.0,6.34,4.01,3298.0
2089,0.3,2,3,5,62.3,56.0,4.27,2.67,526.0
2090,0.3,2,0,7,59.5,58.0,4.42,2.62,483.0
2091,0.41,3,1,6,62.2,58.0,4.77,2.94,1431.0
2092,2.12,2,5,3,62.7,57.0,8.28,5.06,15647.0
2093,0.52,3,2,5,62.2,58.0,5.17,3.2,1720.0
2094,0.8,3,3,1,62.6,58.0,5.93,3.7,4193.0
2095,0.29,2,0,4,61.7,57.0,4.23,2.62,504.0
2096,1.31,2,3,4,62.0,56.0,6.97,4.34,10359.0
2097,1.0,1,4,2,57.6,62.0,6.62,3.78,4155.0
2098,0.56,2,5,4,62.0,57.0,5.29,3.29,1580.0
2099,0.72,2,4,2,61.7,54.0,5.78,3.57,2359.0
2100,0.25,4,3,6,61.8,57.0,4.04,2.5,525.0
2101,0.41,2,2,4,62.1,56.0,4.77,2.97,1007.0
2102,0.77,2,3,5,62.1,55.0,5.91,3.64,3114.0
2103,0.34,2,1,6,61.9,55.0,4.51,2.8,1084.0
2104,0.25,2,3,3,62.0,54.0,4.06,2.52,438.0
2105,0.77,1,1,2,63.2,58.0,5.8,3.68,2873.0
2106,1.01,3,2,5,62.3,58.0,6.34,3.94,6271.0
2107,1.21,3,2,3,61.8,59.0,6.82,4.2,4472.0
2108,0.33,2,1,5,62.0,54.0,4.42,2.75,723.0
2109,0.55,3,3,3,62.5,56.0,5.28,3.25,1280.0
2110,0.3,2,3,1,61.3,55.0,4.33,2.66,863.0
2111,0.57,3,5,3,62.1,57.0,5.33,3.33,1097.0
2112,0.32,2,0,2,62.0,55.0,4.37,2.72,589.0
2113,0.43,2,3,2,61.5,57.0,4.84,2.98,790.0
2114,0.26,3,1,4,61.9,58.0,4.1,2.54,452.0
2115,0.54,2,1,5,61.7,55.0,5.22,3.24,1847.0
2116,0.41,1,3,3,63.4,55.0,4.7,3.01,570.0
2117,0.34,3,1,2,61.8,58.0,4.51,2.79,483.0
2118,1.71,1,0,2,64.1,59.0,7.51,4.76,14426.0
2119,1.04,2,5,2,61.3,57.0,6.57,4.01,4659.0
2120,0.74,2,1,3,60.5,57.0,5.89,3.57,2617.0
2121,1.05,4,2,5,62.8,57.0,6.45,4.06,6808.0
2122,1.02,2,1,6,61.3,57.0,6.42,3.99,11128.0
2123,0.71,3,3,5,61.9,62.0,5.72,3.53,2694.0
2124,1.3,2,5,5,62.7,57.0,6.88,4.32,6290.0
2125,0.63,2,3,3,61.4,54.0,5.54,3.41,1065.0
2126,0.28,2,5,7,62.4,56.0,4.19,2.62,503.0
2127,0.7,2,3,4,62.6,56.0,5.65,3.55,2670.0
2128,0.3,2,3,7,62.2,55.0,4.33,2.69,878.0
2129,0.7,4,1,3,60.2,64.0,5.67,3.42,1964.0
2130,2.13,4,3,3,57.9,60.0,8.41,4.91,16462.0
2131,0.42,3,0,2,61.5,58.0,4.83,2.96,970.0
2132,0.34,4,5,6,61.9,58.0,4.43,2.77,626.0
2133,1.01,3,3,2,63.0,60.0,6.34,3.98,4118.0
2134,0.9,4,6,3,62.9,55.0,6.13,3.85,2482.0
2135,0.26,3,1,6,60.9,59.0,4.12,2.51,814.0
2136,0.9,4,5,2,62.3,56.0,6.12,3.83,3308.0
2137,0.41,3,0,6,61.6,58.0,4.78,2.93,1582.0
2138,0.91,3,3,2,62.6,58.0,6.17,3.85,3975.0
2139,0.32,3,3,2,62.5,59.0,4.43,2.76,612.0
2140,0.36,3,2,5,61.4,58.0,4.55,2.81,726.0
2141,0.51,4,3,6,62.9,57.0,5.08,3.21,1800.0
2142,0.92,2,0,2,62.3,56.0,6.2,3.87,5779.0
2143,0.3,4,5,5,61.6,58.0,4.29,2.66,710.0
2144,1.04,3,4,5,59.8,58.0,6.63,3.93,5344.0
2145,0.31,3,3,4,62.8,58.0,4.3,2.69,802.0
2146,1.51,2,3,5,61.8,57.0,7.36,4.53,15118.0
2147,1.01,3,1,5,62.3,59.0,6.38,3.95,5430.0
2148,0.36,4,1,2,62.4,55.0,4.52,2.83,631.0
2149,0.3,2,1,5,63.8,56.0,4.28,2.68,619.0
2150,0.71,2,2,7,61.5,56.0,5.72,3.53,3710.0
2151,0.83,4,3,5,62.7,58.0,5.97,3.76,2999.0
2152,0.7,4,5,2,62.2,55.0,5.62,3.51,2147.0
2153,1.21,4,3,3,59.6,60.0,6.92,4.13,5556.0
2154,1.01,4,0,2,62.0,59.0,6.33,4.04,5622.0
2155,0.6,4,0,2,62.2,58.0,5.4,3.37,1750.0
2156,0.34,1,2,1,59.0,61.0,4.59,2.72,931.0
2157,0.31,2,3,1,61.1,57.0,4.38,2.67,842.0
2158,0.3,4,3,5,63.1,56.0,4.28,2.69,675.0
2159,0.31,2,1,4,61.8,56.0,4.37,2.69,842.0
2160,0.66,2,0,2,61.0,55.0,5.56,3.5,2079.0
2161,0.42,2,5,2,61.8,55.0,4.81,2.98,833.0
2162,0.72,2,5,7,62.8,57.0,5.69,3.59,2594.0
2163,0.59,2,5,5,62.1,57.0,5.36,3.34,1774.0
2164,0.66,2,0,7,61.3,57.0,5.59,3.38,3915.0
2165,0.8,4,2,3,61.0,57.0,6.01,3.67,2772.0
2166,0.42,3,1,2,60.0,61.0,4.89,2.92,926.0
2167,0.76,2,0,7,62.5,57.0,5.84,3.65,4223.0
2168,0.42,4,1,5,62.6,57.0,4.76,2.99,705.0
2169,0.42,2,0,2,61.7,56.0,4.79,2.97,810.0
2170,0.52,2,6,2,62.0,54.0,5.15,3.2,930.0
2171,0.3,4,3,5,63.0,56.0,4.27,2.7,526.0
2172,1.0,1,3,2,62.5,56.0,6.24,3.92,4528.0
2173,1.01,3,0,3,60.8,61.0,6.5,3.94,4338.0
2174,0.3,2,4,1,61.8,55.0,4.3,2.68,475.0
2175,1.11,3,4,3,59.8,60.0,6.75,4.01,4538.0
2176,0.5,2,3,7,62.2,56.0,5.08,3.17,1842.0
2177,0.35,4,5,5,62.6,54.0,4.48,2.82,527.0
2178,0.3,2,4,2,61.6,54.0,4.33,2.68,450.0
2179,1.75,3,3,5,60.7,58.0,7.62,4.76,16220.0
2180,1.0,4,4,2,61.8,58.0,6.39,3.96,4995.0
2181,1.63,4,2,2,59.7,62.0,7.63,4.59,12282.0
2182,1.51,3,2,2,62.8,55.0,7.33,4.57,11565.0
2183,1.51,4,3,2,63.3,60.0,7.2,4.57,10772.0
2184,0.53,4,3,6,61.7,57.0,5.19,3.21,1948.0
2185,0.3,4,0,3,62.9,58.0,4.26,2.69,447.0
2186,0.35,2,4,1,62.2,55.0,4.55,2.8,868.0
2187,1.25,2,3,7,62.5,54.0,6.88,4.31,10636.0
2188,1.37,2,2,4,59.6,57.0,7.28,4.32,11649.0
2189,1.71,2,5,5,62.4,54.0,7.65,4.77,12342.0
2190,1.3,4,2,2,61.1,58.0,6.99,4.32,7567.0
2191,0.7,4,3,5,63.3,55.0,5.63,3.55,2657.0
2192,0.94,4,0,5,60.7,60.0,6.27,3.82,4972.0
2193,0.34,3,2,2,59.3,60.0,4.52,2.71,509.0
2194,0.7,3,1,6,61.7,59.0,5.67,3.51,4228.0
2195,1.52,2,3,5,62.8,54.0,7.21,4.61,13809.0
2196,1.55,2,4,3,62.0,58.0,7.44,4.6,9044.0
2197,0.44,4,1,2,63.4,57.0,4.86,3.06,970.0
2198,0.36,2,4,5,61.0,57.0,4.59,2.81,587.0
2199,1.6,3,6,4,61.3,59.0,7.52,4.6,9032.0
2200,1.02,3,3,0,62.3,59.0,6.39,3.97,3204.0
2201,0.7,1,1,2,61.4,64.0,5.66,3.49,2872.0
2202,0.9,3,2,3,61.8,58.0,6.13,3.78,3619.0
2203,1.1,2,3,2,62.5,57.0,6.61,4.12,4484.0
2204,0.61,2,0,2,62.1,55.0,5.42,3.37,1752.0
2205,0.38,2,5,2,62.3,56.0,4.63,2.87,746.0
2206,1.16,2,3,4,61.9,54.0,6.75,4.19,9348.0
2207,0.31,1,1,2,63.3,55.0,4.31,2.74,544.0
2208,0.95,3,2,2,62.9,59.0,6.24,3.89,4682.0
2209,0.3,2,4,7,61.7,56.0,4.28,2.64,605.0
2210,1.2,2,3,2,61.2,56.0,6.92,4.2,6502.0
2211,0.3,2,3,4,61.5,57.0,4.31,2.65,605.0
2212,0.33,4,3,7,63.0,56.0,4.46,2.8,672.0
2213,0.3,2,0,5,61.0,55.0,4.38,2.66,778.0
2214,0.91,1,4,2,63.7,60.0,6.16,3.9,3229.0
2215,1.5,3,4,5,61.8,59.0,7.3,4.53,11360.0
2216,1.36,3,5,5,59.3,58.0,7.21,4.27,6017.0
2217,0.7,0,1,2,65.1,56.0,5.49,3.55,2125.0
2218,1.05,2,4,3,61.9,56.0,6.56,4.04,4586.0
2219,1.01,4,0,5,62.9,58.0,6.35,4.01,6738.0
2220,0.28,1,0,4,62.2,61.0,4.13,2.58,452.0
2221,0.52,2,0,6,62.0,57.0,5.15,3.2,3218.0
2222,0.46,1,2,6,66.5,55.0,4.77,3.19,1307.0
2223,0.7,3,2,2,61.3,59.0,5.67,3.5,2423.0
2224,1.13,3,2,2,60.6,60.0,6.76,4.07,5581.0
2225,1.2,1,4,5,62.6,56.0,6.73,4.22,6998.0
2226,0.92,4,2,2,63.5,58.0,6.16,3.9,3967.0
2227,0.9,1,2,3,59.9,61.0,6.16,3.7,3660.0
2228,0.7,3,3,2,60.7,58.0,5.7,3.49,2074.0
2229,0.41,2,4,2,62.0,57.0,4.7,2.97,705.0
2230,0.51,1,2,2,63.6,56.0,5.08,3.24,1220.0
2231,0.39,2,2,4,62.5,57.0,4.66,2.92,895.0
2232,0.32,2,0,1,60.3,57.0,4.42,2.67,780.0
2233,0.72,4,3,2,63.1,57.0,5.66,3.59,2353.0
2234,0.33,3,1,5,60.6,58.0,4.47,2.7,594.0
2235,1.02,3,2,3,59.9,60.0,6.59,3.94,4207.0
2236,0.32,1,4,7,61.2,56.0,4.38,2.7,645.0
2237,0.31,3,3,4,62.2,58.0,4.34,2.71,625.0
2238,0.96,1,3,2,56.6,63.0,6.52,3.72,3522.0
2239,0.35,3,3,1,60.6,60.0,4.54,2.76,1044.0
2240,2.0,3,4,2,60.7,60.0,8.11,4.91,15451.0
2241,0.3,2,3,7,61.1,55.0,4.33,2.65,638.0
2242,0.31,3,6,4,59.6,57.3,4.38,2.62,683.0
2243,0.78,2,3,4,61.9,55.0,5.91,3.67,2656.0
2244,1.6,2,6,5,61.9,55.0,7.51,4.66,8886.0
2245,0.72,4,4,4,59.9,56.0,5.83,3.5,3610.0
2246,0.77,2,3,4,61.7,55.0,5.87,3.61,3154.0
2247,1.05,3,2,5,62.6,58.0,6.5,4.05,7154.0
2248,1.01,1,5,3,56.7,61.0,6.68,3.82,4413.0
2249,0.47,4,6,4,63.0,56.0,4.92,3.11,854.0
2250,0.29,4,2,1,59.9,56.0,4.35,2.61,815.0
2251,0.38,1,1,5,62.4,64.0,4.59,2.87,904.0
2252,0.4,2,4,7,62.1,57.0,4.74,2.93,1125.0
2253,0.57,4,4,2,59.3,62.0,5.4,3.22,1218.0
2254,1.52,3,4,2,62.5,58.0,7.34,4.57,7822.0
2255,0.9,2,2,2,62.8,56.0,6.18,3.83,3251.0
2256,1.57,1,3,5,57.8,60.0,7.66,4.41,12547.0
2257,1.19,4,4,3,58.8,60.0,6.93,4.09,5622.0
2258,0.71,4,6,5,60.1,61.0,5.77,3.48,2369.0
2259,0.53,2,4,3,61.6,56.0,5.16,3.19,1054.0
2260,0.5,3,1,5,60.7,59.0,5.11,3.11,1581.0
2261,1.13,3,5,5,60.2,61.0,6.64,4.05,4430.0
2262,0.7,4,6,2,62.1,56.0,5.66,3.53,1619.0
2263,0.49,4,0,2,58.6,60.0,5.14,3.03,1294.0
2264,0.7,2,5,3,61.5,53.0,5.74,3.54,1702.0
2265,0.51,2,0,5,62.5,56.0,5.13,3.2,2056.0
2266,1.7,4,1,5,58.6,62.0,7.84,4.62,18176.0
2267,0.42,2,1,5,62.2,55.0,4.79,2.99,958.0
2268,0.3,4,0,3,61.8,58.0,4.29,2.66,710.0
2269,1.59,3,4,2,60.6,60.0,7.59,4.58,10542.0
2270,0.3,3,5,6,62.8,59.0,4.29,2.67,709.0
2271,0.3,3,6,4,62.7,59.0,4.28,2.67,506.0
2272,0.9,2,3,2,61.6,57.0,6.17,3.82,4001.0
2273,0.77,2,2,4,61.9,54.0,5.89,3.66,3750.0
2274,1.04,3,2,3,60.2,58.0,6.6,3.99,4717.0
2275,0.31,2,4,7,62.4,57.0,4.32,2.71,625.0
2276,0.78,2,0,5,61.9,56.0,5.88,3.66,3763.0
2277,0.32,2,1,4,61.1,55.0,4.44,2.72,825.0
2278,0.3,1,0,7,63.5,58.0,4.23,2.71,787.0
2279,0.57,2,3,5,60.7,55.0,5.41,3.28,1613.0
2280,1.03,4,0,7,62.7,58.0,6.39,4.02,11677.0
2281,0.41,2,1,6,61.4,57.0,4.77,2.94,1221.0
2282,0.44,1,3,1,58.5,61.0,4.99,2.93,1407.0
2283,0.31,2,0,6,61.5,56.0,4.39,2.71,828.0
2284,0.41,3,1,5,62.1,55.0,4.78,2.96,999.0
2285,0.54,2,1,3,62.1,57.0,5.18,3.23,1163.0
2286,0.51,3,0,5,61.9,57.0,5.13,3.19,1882.0
2287,0.34,3,2,5,61.2,59.0,4.49,2.76,686.0
2288,0.9,4,1,2,63.0,56.0,6.11,3.86,4315.0
2289,1.51,3,2,5,63.0,56.0,7.29,4.59,13248.0
2290,0.71,2,2,4,61.1,56.0,5.71,3.5,3192.0
2291,0.92,2,1,4,62.6,57.0,6.18,3.85,5167.0
2292,0.76,4,3,7,61.5,59.0,5.83,3.61,5027.0
2293,0.41,3,1,2,62.4,58.0,4.77,2.96,969.0
2294,0.7,4,3,5,58.7,53.0,5.83,3.43,2563.0
2295,0.71,2,1,2,61.9,56.0,5.76,3.54,2404.0
2296,0.57,3,0,3,61.3,58.0,5.32,3.25,1012.0
2297,1.25,1,2,6,62.2,56.0,6.92,4.3,12698.0
2298,0.31,2,1,4,61.7,56.0,4.41,2.71,942.0
2299,1.02,1,2,2,63.2,59.0,6.35,4.02,5301.0
2300,0.36,2,2,4,60.9,57.0,4.58,2.8,726.0
2301,2.1,4,6,3,62.0,62.0,8.17,5.08,12196.0
2302,0.3,4,2,1,62.6,55.0,4.3,2.7,886.0
2303,1.12,2,3,5,62.0,56.0,6.72,4.13,6774.0
2304,0.9,1,1,2,58.3,61.0,6.24,3.65,4165.0
2305,0.91,4,5,5,59.9,58.0,6.35,3.76,4008.0
2306,0.72,3,4,4,60.8,58.0,5.77,3.52,3180.0
2307,0.44,3,3,2,61.9,58.0,4.83,3.0,772.0
2308,1.05,2,2,2,60.6,59.0,6.51,3.96,5586.0
2309,0.3,2,2,5,62.0,53.7,4.31,2.68,601.0
2310,0.52,2,0,5,61.7,56.0,5.18,3.19,1919.0
2311,1.2,3,6,5,62.6,57.0,6.8,4.23,5053.0
2312,1.2,3,3,3,61.8,60.0,6.78,4.21,4443.0
2313,1.58,4,6,3,62.0,59.0,7.47,4.65,7750.0
2314,1.51,3,2,5,62.5,58.0,7.36,4.55,14294.0
2315,0.63,2,2,7,61.5,56.0,5.48,3.38,2817.0
2316,0.9,2,2,2,61.7,56.0,6.25,3.84,4657.0
2317,2.16,2,2,0,61.0,57.0,8.4,5.1,9036.0
2318,0.3,2,1,7,62.3,57.0,4.3,2.68,766.0
2319,0.26,3,1,6,61.8,58.0,4.14,2.55,769.0
2320,1.52,3,3,5,62.7,58.0,7.33,4.56,13483.0
2321,0.32,2,5,5,60.3,56.0,4.41,2.73,702.0
2322,1.13,3,1,2,62.3,57.0,6.65,4.16,5012.0
2323,0.41,3,3,5,61.4,59.0,4.75,2.93,827.0
2324,1.17,2,2,5,61.8,55.0,6.74,4.19,7927.0
2325,0.5,2,1,3,62.5,57.0,5.07,3.16,1240.0
2326,0.31,3,1,5,60.0,58.0,4.35,2.62,680.0
2327,0.78,4,1,6,61.3,60.0,5.86,3.61,4904.0
2328,0.71,4,5,5,59.5,57.0,5.85,3.49,2111.0
2329,0.5,1,1,2,64.0,58.0,5.09,3.21,1155.0
2330,0.51,3,4,7,60.8,61.0,5.11,3.1,1749.0
2331,1.5,0,1,2,58.2,66.0,7.45,4.32,11128.0
2332,1.01,3,2,3,60.6,59.0,6.52,3.94,5345.0
2333,1.33,2,5,5,62.5,54.0,7.02,4.4,7186.0
2334,2.0,1,3,3,64.3,60.0,7.87,5.05,10416.0
2335,0.3,2,2,5,61.8,55.0,4.32,2.67,612.0
2336,2.38,3,6,3,62.4,58.0,8.59,5.32,14648.0
2337,1.5,0,5,3,65.0,55.0,7.26,4.68,6364.0
2338,0.62,2,0,6,62.2,54.0,5.45,3.4,3968.0
2339,0.55,2,3,5,60.0,56.0,5.35,3.21,1175.0
2340,2.45,4,6,3,60.6,63.0,8.71,5.26,17237.0
2341,0.79,4,3,2,60.6,57.0,5.98,3.65,2793.0
2342,1.0,3,2,4,63.4,58.0,6.4,4.0,7244.0
2343,1.17,2,4,5,60.3,61.0,6.84,4.11,6324.0
2344,0.51,2,2,3,61.3,57.0,5.16,3.17,1146.0
2345,0.9,3,4,2,62.0,58.0,6.18,3.81,4355.0
2346,0.3,2,4,2,62.5,57.0,4.3,2.68,475.0
2347,0.3,2,4,4,62.2,54.0,4.29,2.68,539.0
2348,1.1,3,2,3,62.0,59.0,6.62,4.1,4928.0
2349,0.56,3,4,2,59.9,58.0,5.3,3.19,1230.0
2350,0.43,2,5,1,62.0,55.0,4.83,3.0,1056.0
2351,2.01,3,5,5,62.1,59.0,8.06,5.02,15520.0
2352,1.18,3,5,5,60.8,58.0,6.84,4.14,4579.0
2353,0.39,2,2,7,60.4,60.0,4.73,2.87,1031.0
2354,0.74,3,3,3,62.8,59.0,5.77,3.63,2398.0
2355,1.11,2,0,3,61.3,56.0,6.74,4.12,6241.0
2356,0.31,4,3,4,61.9,54.0,4.36,2.71,640.0
2357,1.0,1,3,2,63.9,58.0,6.26,4.02,4274.0
2358,0.39,2,2,2,61.8,57.0,4.7,2.91,812.0
2359,0.51,4,2,2,61.8,57.0,5.1,3.16,1374.0
2360,0.54,2,1,4,62.0,54.6,5.17,3.23,1939.0
2361,0.6,3,0,3,62.3,59.0,5.41,3.34,1449.0
2362,0.26,4,3,7,62.2,56.0,4.09,2.55,565.0
2363,1.24,3,2,4,60.1,59.0,6.97,4.21,9738.0
2364,0.51,3,1,2,61.8,58.0,5.15,3.17,1443.0
2365,0.4,1,3,1,63.1,54.0,4.69,2.97,1239.0
2366,0.21,3,1,2,59.8,55.0,3.89,2.31,326.0
2367,0.51,2,0,4,60.9,57.0,5.17,3.16,1752.0
2368,1.2,4,2,4,60.3,61.0,6.81,4.21,9203.0
2369,0.36,4,0,5,64.0,56.0,4.49,2.88,631.0
2370,0.32,2,0,5,62.2,55.0,4.36,2.72,702.0
2371,1.51,1,1,2,62.8,59.0,7.16,4.51,11487.0
2372,0.39,3,4,3,62.4,59.0,4.58,2.88,562.0
2373,1.74,1,4,2,60.6,62.0,7.74,4.71,12032.0
2374,1.23,4,3,7,60.6,55.0,6.93,4.23,10004.0
2375,1.26,2,2,6,61.1,57.0,6.96,4.28,15247.0
2376,0.55,2,2,3,61.2,56.0,5.26,3.22,1263.0
2377,0.3,2,4,7,61.7,54.2,4.32,2.67,842.0
2378,0.5,2,1,5,60.8,55.0,5.19,3.15,1768.0
2379,1.2,4,6,2,61.2,59.0,6.84,4.2,5142.0
2380,1.11,2,0,7,63.0,57.0,6.58,4.17,12016.0
2381,1.01,3,4,2,63.0,58.0,6.35,3.92,4191.0
2382,1.07,4,2,1,59.4,58.0,6.64,3.96,11019.0
2383,0.72,3,3,3,60.6,61.0,5.83,3.51,1588.0
2384,1.2,3,4,2,61.3,60.0,6.87,4.19,7141.0
2385,0.53,3,0,5,59.9,58.0,5.26,3.16,1734.0
2386,0.58,4,2,3,63.0,55.0,5.34,3.34,1173.0
2387,0.58,4,3,5,62.8,56.0,5.3,3.34,1556.0
2388,0.47,4,5,5,63.2,56.0,4.92,3.13,935.0
2389,0.77,2,1,3,61.0,57.0,5.95,3.62,2360.0
2390,0.32,1,2,2,61.6,60.1,4.38,2.72,528.0
2391,0.4,2,4,7,62.2,56.0,4.7,2.94,877.0
2392,2.39,4,6,5,62.2,60.0,8.49,5.29,16791.0
2393,0.32,2,1,5,61.0,56.0,4.44,2.71,662.0
2394,0.5,3,3,7,60.9,59.0,5.09,3.11,1838.0
2395,0.3,2,3,5,61.3,56.0,4.3,2.63,675.0
2396,0.62,2,1,4,62.4,57.0,5.44,3.4,2178.0
2397,0.56,2,3,3,61.0,57.0,5.34,3.25,1127.0
2398,1.24,4,4,3,63.2,55.0,6.88,4.33,5486.0
2399,0.52,2,3,4,63.0,54.0,5.17,3.24,1694.0
2400,2.01,3,6,3,60.8,58.0,8.19,4.96,12048.0
2401,1.25,3,1,5,60.4,56.0,6.96,4.19,7378.0
2402,0.33,3,3,4,61.9,59.0,4.47,2.74,854.0
2403,1.23,3,2,4,61.3,60.0,6.9,4.23,9319.0
2404,0.7,4,1,2,62.1,60.0,5.62,3.5,2730.0
2405,2.13,3,3,3,60.7,59.0,8.37,5.05,16309.0
2406,0.3,2,3,1,62.8,57.0,4.29,2.69,956.0
2407,0.72,4,2,5,62.9,57.0,5.69,3.54,1978.0
2408,1.01,4,1,2,62.1,56.0,6.43,3.96,5461.0
2409,0.3,3,1,7,60.1,59.0,4.32,2.61,789.0
2410,1.51,3,5,7,59.3,60.0,7.33,4.49,10623.0
2411,1.17,3,5,2,62.6,58.0,6.71,4.17,4914.0
2412,1.51,1,1,2,63.5,57.0,7.28,4.61,10891.0
2413,1.1,2,4,5,60.5,57.0,6.73,4.09,5347.0
2414,1.05,3,1,0,61.4,58.0,6.53,3.99,2964.0
2415,0.32,2,2,5,62.5,55.0,4.38,2.76,758.0
2416,0.31,3,3,6,58.0,63.0,4.47,2.58,977.0
2417,1.16,2,3,7,62.0,56.0,6.72,4.17,8646.0
2418,1.01,2,1,3,61.3,57.0,6.49,3.97,6968.0
2419,0.71,3,2,4,60.1,58.0,5.75,3.47,2839.0
2420,0.72,1,2,2,63.1,56.0,5.67,3.58,2647.0
2421,2.05,3,6,5,62.3,60.0,8.15,5.05,13667.0
2422,2.07,3,4,2,62.7,58.0,8.14,5.09,13993.0
2423,0.9,3,3,2,60.2,59.0,6.27,3.8,3879.0
2424,0.7,4,1,3,63.5,54.0,5.69,3.6,2310.0
2425,1.09,3,3,5,60.9,56.0,6.7,4.07,7813.0
2426,1.07,2,4,6,61.7,56.0,6.56,4.06,7273.0
2427,1.01,0,1,6,66.1,59.0,6.19,4.05,7533.0
2428,0.41,4,1,3,61.9,55.0,4.77,2.96,683.0
2429,1.14,3,4,2,62.3,57.0,6.7,4.2,4654.0
2430,0.5,3,2,2,62.2,59.0,5.07,3.14,1286.0
